Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Air Quality Index,Happiness Index,Global Warming Index,Global Peace Index,Technology Usage Index,Global Slavery Index
90.9,5.3,3,4.4,7.8,6.1,4.6,5.6,5.2,5.2,5.7,5.6,4.2,3.9,4,4.6,4.2,6.6,5
89.8,4.6,2.5,7.3,3.3,5.7,3.2,7.6,2.4,7.5,6.1,7.1,5.6,7.3,2.8,4.6,4.2,3.5,4.5
87.6,4.7,3.1,4.8,6.6,4.8,5.3,7,4.8,6,5.5,6.3,6.3,4.3,2.5,4.4,4,4.2,3
87.6,5.5,2.2,3.7,2.5,6.3,4.7,5.3,5.7,5.4,4.4,5.5,6.5,8,2.9,4.5,3.8,5.5,5.1
86.4,5.1,3.8,4.6,3.7,5.3,3.4,7.6,2.6,6.8,4.4,7.9,4.4,5.5,3.2,4.5,3.4,6.1,4.1
86.2,5.6,4.6,6.1,4.8,5.9,4.1,6.2,4.5,7.1,6,6.8,4.4,1.9,3.2,3.8,3.2,4,4
86,8.3,5.8,4.8,5,7.5,6.1,4.4,6,4.4,3.5,3.3,4.8,3.3,1.8,4.9,3.2,3.3,5.5
83.8,5.9,3.7,5,4.5,7.9,3.8,4.7,5,4.4,5.1,2.5,3.3,5.1,2.5,4.6,3.8,5.4,6.6
83.8,4.6,3,4.1,7.6,5.6,4.5,5.8,4,4.4,4.9,3.7,5.8,6,4.4,4.6,0,6.6,4.2
82,4.4,3.1,4.6,4.9,5.1,5,4.8,4.4,3.7,4.7,5.3,5,5.4,4,3.8,3.4,6.5,3.9
81,4.3,2.7,6.3,4.7,5.3,5.7,6.4,4.3,3.9,4.1,5.2,4.6,2.9,2.8,4.1,3.2,6.4,4.2
80.9,4.9,4.1,4.1,3.5,6.1,4.3,3.5,4.6,2.4,2.5,3.8,4.9,7.4,3.8,4.4,3.6,8.6,4.4
77.5,5.2,3.3,4.8,4.9,6.6,5.2,6.3,3.5,5.2,6.4,5.7,6.9,1.9,1.9,4.5,0,2,3.2
77.4,4.3,2,4.8,4.4,4.3,6.4,5.4,3.9,3,3.9,3,5.1,5.4,4,3.7,4,6.6,3.1
77.2,3.9,4.5,6.5,3,3.5,4.6,4.2,3.6,4.4,4.6,6.2,5.3,4.3,3.9,4.1,4,4,2.5
77.1,4.1,2,5,3,6,4,4.4,3.9,4.1,3,2.7,3.8,7.5,2.6,4.6,3.8,7.5,5
76.1,3.7,5.5,5.3,4.4,4.4,5.1,3.9,2.9,4.7,4.8,4.4,5,2.2,4.4,3.8,3.2,5.5,2.9
74.6,6.6,2.8,4.4,5.6,5.6,4.5,4.9,4.4,2.8,4.3,4.5,4.3,4,3.6,4.6,0,4.2,3.5
74.1,5,2,2.7,1.8,3.6,4.5,6.1,4.4,7.5,5.3,6.6,2.4,2.4,4.2,4.4,3.6,5.4,2.1
72.2,3.9,2.5,4.3,2.4,4.8,3.5,6.5,2.9,6.4,2.9,3.6,3.5,8.7,2.2,3.9,3.4,3.2,3.5
70.3,3.6,3.3,5.4,4.2,4.9,4,4.5,3.4,3.2,3.3,4.3,3.8,5.3,2.9,3.5,3.6,3.8,3.3
69.9,4.3,2.1,4.9,3.1,4.8,2.9,5.9,2,5.6,2.5,5,4,6.2,3.3,4.1,3,3.1,3.1
69.6,3.8,3.3,4.7,2.6,3.6,4.8,4.7,2.4,2.9,5,4.8,2,8.2,2.5,3.4,3.4,5,2.5
68.4,2.5,2.9,4.1,3.9,4.9,6,5.9,3.1,3.4,2.3,4.8,3.8,3,2.5,3.7,3,5.4,3.2
67.8,3.8,2.7,4.4,6.2,5.7,5.8,3.6,2.7,2.5,4.2,4.2,5,3.6,4.1,3.9,0,3.1,2.3
67.6,3,2,3.1,3.9,2.9,2,2.9,1.9,2.6,2.1,3.6,5.4,9.6,1.9,6.4,3.6,9.5,1.2
65.2,3.8,2.9,3.7,4.1,5.2,4.5,3.8,3.4,2.9,2.5,3,3.2,4.2,3.2,3.3,3.6,3.8,4.1
63.9,3.5,2.8,3.8,5,3.9,3.5,3.4,2.8,2.9,2.5,3.6,3.3,7.9,2.2,2.9,3,4.5,2.5
63.7,4.9,2.4,3.5,2.8,5.5,4.1,3.8,4.3,3.5,2.9,1.4,3.2,4.7,2.3,3.4,3.2,4.2,3.6
63.4,3.8,2.2,3.5,3.6,4.8,4.1,4.1,3.8,3.5,3.3,3.2,4.6,2.4,1.1,4,3,5.2,3.2
63,2.8,2.3,5.8,3,4.1,5.5,3.3,3.3,2.2,4.1,6,2,3,2.3,3.2,3.2,4,2.9
62.6,3.5,3.3,5.9,3.9,4.3,3.5,3.8,3,2.4,2.9,5.5,3.3,2.4,2.4,3.1,3.4,3.1,2.9
62.1,3.8,1.9,2.8,4.7,4.4,3.6,1.7,3.4,2.3,3.7,2.7,3.5,7,2.1,3.9,3,4.6,3.1
62,2.5,2.2,3.8,3.4,3.8,4.5,4.1,3.7,2.4,2.1,4.2,3.2,3.6,2.5,3,2.8,7.8,2.4
61.8,2.8,5.2,4,4.1,3.5,3.6,4.1,2.3,3.3,3.7,2,3.8,1.4,2.4,3.8,0,9.3,2.5
59.5,3.2,2,5,4.5,4.6,5.2,4.3,3.5,3,2.3,3.7,3.9,1.4,1.9,3.5,3.2,1.2,3
50.3,2.5,1.4,3.3,3.2,4.5,3.6,2.8,2.1,2.5,2.5,1.6,2.3,3,1.9,2.8,2.8,4.2,3.3
49.6,5.4,3.7,3.8,2,1.8,3.7,2.2,2.5,3,1.7,2.6,3.7,3.1,1.8,2.7,2.6,2.3,1
48.7,2.7,2.2,5.9,1.9,4.3,4,2.2,1.5,2.4,2.3,1.9,1.4,5.3,2.1,2.6,3.8,3.3,2.3
48.7,3,2.3,4.2,1,4.8,3.2,2.3,2.4,3.2,2.2,3.9,1,2.6,2.3,2.4,4.2,1.6,2.1
48.2,2.8,1.6,2.3,2.6,3.4,5.4,2.1,3.5,2.7,1.6,1.3,3.3,1.5,1.8,3.3,3,3.8,2.2
47.5,2.5,1.1,2.7,3.3,3.7,3,3.2,1.9,4.9,1.5,4,2.2,2.5,2.4,2.2,2.8,1.6,2
46.7,2.5,1.6,4.1,1.8,3.8,3.5,2.1,2.2,1.5,2,3.9,2,3.2,1.5,3,2.6,3,2.5
46.3,2.5,2.7,5,2.1,3.6,4.1,1.6,2.3,1.8,2.7,3.5,1.3,1.5,2,2.1,3.6,1.9,2
45.2,2.4,3.6,4.3,2.2,3.9,2.6,1.4,1.8,1.9,2.2,2,1.4,4.6,1.3,2.1,2.8,2.7,2
42.4,2.6,2.1,3.1,2.1,3.5,1.8,1.5,2,2,1.8,2.5,1,6.4,1.5,2.4,2.6,2.3,1.2
40.7,1.6,1.6,1,2.8,1.7,3.7,1.4,1.6,1.3,1,1.8,5.2,6.2,1.2,2.4,2.4,2.7,1.1
40.5,2.3,2.4,4.3,1.6,4,1.9,1.5,1.5,2,1.1,2.7,1.6,2.5,1.2,2.4,2.6,2.8,2.1
38.8,2.2,1.4,1.6,2.8,2.5,3.9,1.9,1.9,1.3,1.8,1.3,2.2,2.8,1.3,2.8,2.8,3.1,1.2
37.8,3,2.4,4.1,2.2,2.3,3.5,1,1.5,1,1.8,2.6,1.5,1.3,1,2.6,3,1.8,1.2
37.1,3.3,2.7,3.6,1.1,3.3,2.1,1,1.8,2.2,1.7,1.6,1,1.5,1.1,2.3,2.8,2.8,1.2
33.3,2.5,1.6,3.4,1.9,1.6,1.9,1,1.4,1.7,1.5,1.4,2,1.9,1.7,2,2.4,2.3,1.1
32.7,2.1,1.1,3.5,2.4,3.4,3.6,0.5,1.8,1.2,1.1,1.1,1,1.2,1.2,1.9,2.4,2.2,1.1
32.1,1.7,1.8,2.8,2.1,1.5,1.5,1.9,1.3,1,2.3,3.4,2,1.6,1.1,2.8,0,2.2,1.1
31.8,2.1,1.5,3.5,2.1,2.3,2.3,0.8,1.4,1.7,1.4,1,1.4,1.5,1.3,2.2,2.6,1.6,1.1
31.8,2,1.9,3.6,1.6,1.5,1.9,0.5,1.4,1.9,2.7,1.1,1.3,1.3,1.4,1.8,2.8,1.9,1.1
29.9,2.5,2.4,1,1.7,1.7,1.7,0.5,1.9,1.3,2.2,1.8,1,1.5,1.5,2.1,2.6,1.5,1
27.3,1.9,1.6,1.4,2.3,1,3.2,1,1.5,1.1,1,1.1,1,1.2,1.2,2.1,2.6,1.2,1
